_name=Carrier
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
_carrierFreq_Hz =1000
# xR, xI
-0.866158,-0.499771
0.866184,0.499726
-0.866179,-0.499733
0.866205,0.499688
-0.866231,-0.499643
0.866257,0.499598
-0.866283,-0.499553
0.866279,0.499561
-0.866305,-0.499515
0.866331,0.49947
-0.866357,-0.499425
0.866383,0.49938
-0.866379,-0.499388
0.866405,0.499342
-0.866431,-0.499297
0.866457,0.499252
-0.866483,-0.499207
0.866478,0.499215
-0.866504,-0.49917
0.86653,0.499124
-0.866556,-0.499079
0.866582,0.499034
-0.866578,-0.499042
0.866604,0.498997
-0.86663,-0.498951
0.866656,0.498906
-0.866682,-0.498861
0.866708,0.498816
-0.866704,-0.498824
0.86673,0.498778
-0.866756,-0.498733
0.866782,0.498688
-0.866808,-0.498643
0.866803,0.498651
-0.866829,-0.498605
0.866855,0.49856
-0.866881,-0.498515
0.866907,0.49847
-0.866903,-0.498478
0.866929,0.498432
-0.866955,-0.498387
0.866981,0.498342
-0.867007,-0.498297
0.867032,0.498252
-0.867089,-0.498153
0.867084,0.498161
-0.86708,-0.498169
0.867136,0.498071
-0.867132,-0.498079
0.867188,0.49798
-0.867184,-0.497988
0.867179,0.497996
-0.867236,-0.497898
0.867231,0.497905
-0.867288,-0.497807
0.867283,0.497815
-0.867279,-0.497823
0.867335,0.497725
-0.867331,-0.497732
0.867387,0.497634
-0.867383,-0.497642
0.867378,0.49765
-0.867434,-0.497551
0.86743,0.497559
-0.867486,-0.497461
0.867482,0.497469
-0.867477,-0.497476
0.867534,0.497378
-0.867529,-0.497386
0.867586,0.497288
-0.867581,-0.497296
0.867637,0.497197
-0.867633,-0.497205
0.867629,0.497213
-0.867685,-0.497115
0.86768,0.497122
-0.867737,-0.497024
0.867732,0.497032
-0.867728,-0.49704
0.867784,0.496942
-0.86778,-0.496949
0.867836,0.496851
-0.867831,-0.496859
0.867827,0.496866
-0.867883,-0.496768
0.867879,0.496776
-0.867935,-0.496678
0.867931,0.496686
-0.867926,-0.496693
0.867982,0.496595
-0.867978,-0.496603
0.868034,0.496505
-0.86803,-0.496512
0.868025,0.49652
-0.868081,-0.496422
0.868077,0.49643
-0.868133,-0.496331
0.868129,0.496339
-0.868124,-0.496347
0.868181,0.496249
-0.868176,-0.496256
0.868232,0.496158
-0.868228,-0.496166
0.868223,0.496174
-0.86828,-0.496075
0.868275,0.496083
-0.868331,-0.495985
0.868327,0.495992
-0.868322,-0.496
0.868379,0.495902
-0.868374,-0.49591
0.86843,0.495811
-0.868426,-0.495819
0.868421,0.495827
-0.868478,-0.495729
0.868473,0.495736
-0.868529,-0.495638
0.868525,0.495646
-0.86852,-0.495654
0.868576,0.495555
-0.868572,-0.495563
0.868628,0.495465
-0.868624,-0.495472
0.868619,0.49548
-0.868675,-0.495382
0.868671,0.49539
-0.868727,-0.495291
0.868723,0.495299
-0.868779,-0.495201
0.868774,0.495208
-0.86877,-0.495216
0.868826,0.495118
-0.868821,-0.495126
0.868877,0.495027
-0.868873,-0.495035
0.868869,0.495043
-0.868925,-0.494944
0.86892,0.494952
-0.868976,-0.494854
0.868972,0.494862
-0.868967,-0.494869
0.869023,0.494771
-0.869019,-0.494779
0.869075,0.49468
-0.869071,-0.494688
0.869066,0.494696
-0.869122,-0.494598
0.869118,0.494605
-0.869174,-0.494507
0.869169,0.494515
-0.869165,-0.494522
0.869221,0.494424
-0.869216,-0.494432
0.869272,0.494333
-0.869268,-0.494341
0.869264,0.494349
-0.869319,-0.494251
0.869315,0.494258
-0.869371,-0.49416
0.869367,0.494168
-0.869362,-0.494175
0.869418,0.494077
-0.869414,-0.494085
0.86947,0.493986
-0.869465,-0.493994
0.869461,0.494002
-0.869517,-0.493904
0.869512,0.493911
-0.869568,-0.493813
0.869564,0.493821
-0.869559,-0.493828
0.869615,0.49373
-0.869611,-0.493738
0.869667,0.493639
-0.869662,-0.493647
0.869658,0.493655
-0.869714,-0.493556
0.869709,0.493564
-0.869765,-0.493466
0.869761,0.493473
-0.869756,-0.493481
0.869812,0.493383
-0.869808,-0.493391
0.869864,0.493292
-0.869859,-0.4933
0.869855,0.493308
-0.869911,-0.493209
0.869906,0.493217
-0.869962,-0.493118
